Concurso;Data_Sorteio;B1;B2;B3;B4;B5;B6;B7;Ganhadores_7_Números;OS1;OS2;OS3;OS4;OS5;OS6;OS7
284;31/03/2020;1;3;4;5;18;22;25;0;4;1;18;5;3;22;25
285;02/04/2020;10;15;17;18;21;22;23;0;22;23;17;21;15;10;18
286;04/04/2020;4;5;19;23;28;29;30;1;4;19;28;30;29;5;23
287;07/04/2020;10;14;15;16;18;24;30;0;16;10;18;30;24;14;15
288;09/04/2020;7;11;16;21;23;28;30;1;11;16;21;30;23;7;28
289;11/04/2020;2;4;14;17;19;21;30;0;30;4;14;19;21;2;17
290;14/04/2020;5;12;13;18;21;23;29;0;18;13;12;23;5;21;29
291;16/04/2020;2;3;5;7;10;17;20;0;10;7;17;20;3;5;2
292;18/04/2020;1;4;5;19;22;23;24;0;19;22;4;1;23;24;5
293;20/04/2020;3;7;13;20;25;27;28;1;25;20;3;13;7;28;27
294;23/04/2020;4;5;10;12;14;19;24;1;24;10;12;14;19;5;4
295;25/04/2020;1;4;5;9;10;22;30;0;22;5;4;10;30;9;1
296;28/04/2020;4;6;13;18;21;22;27;0;6;22;27;21;4;18;13
297;30/04/2020;10;13;14;15;20;23;29;0;14;23;10;15;29;20;13
298;02/05/2020;3;4;8;9;16;24;31;0;24;9;16;3;4;31;8
299;05/05/2020;3;14;15;17;20;21;22;0;22;20;15;14;3;17;21
300;07/05/2020;10;15;16;17;24;25;31;0;10;24;17;16;15;31;25
301;09/05/2020;11;18;22;27;28;29;30;0;18;29;22;11;27;28;30
302;12/05/2020;1;4;7;10;15;25;31;1;1;15;4;25;31;10;7
303;14/05/2020;5;13;15;16;18;25;30;2;5;18;15;25;16;30;13
304;16/05/2020;1;2;16;23;24;25;30;0;24;30;1;16;23;2;25
305;19/05/2020;4;8;9;10;20;25;28;0;25;4;8;28;9;10;20
306;21/05/2020;3;11;12;13;20;24;30;0;13;11;30;24;12;20;3
307;23/05/2020;4;8;14;15;16;24;27;0;27;15;14;24;8;16;4
308;26/05/2020;10;11;16;20;21;23;28;0;21;28;16;10;23;20;11
309;28/05/2020;2;5;10;11;12;18;19;0;2;11;18;10;5;19;12
310;30/05/2020;6;7;9;10;13;14;21;0;10;14;21;6;7;13;9
311;02/06/2020;1;3;9;16;17;21;22;2;21;16;17;22;9;1;3
312;04/06/2020;2;9;15;22;24;29;30;0;24;15;29;30;2;22;9
313;06/06/2020;9;12;16;19;24;28;29;1;29;28;19;24;16;12;9
314;09/06/2020;1;7;9;11;22;25;26;0;25;9;22;11;1;7;26
315;12/06/2020;9;10;19;22;26;27;28;0;9;28;19;10;26;22;27
316;13/06/2020;1;10;13;14;16;22;30;0;1;13;16;14;30;10;22
317;16/06/2020;5;7;8;14;15;22;28;1;14;8;28;15;22;7;5
318;18/06/2020;6;11;14;16;18;28;30;0;16;30;28;11;14;18;6
319;20/06/2020;3;10;14;17;28;29;30;1;28;17;3;29;14;10;30
320;23/06/2020;4;9;12;13;15;26;27;2;27;13;26;15;4;12;9
321;25/06/2020;7;13;21;22;26;29;31;1;7;31;13;26;22;29;21
322;27/06/2020;4;9;12;19;20;26;28;0;19;4;26;20;9;28;12
323;30/06/2020;1;9;24;25;27;29;30;0;30;1;27;9;24;25;29
324;02/07/2020;3;6;14;18;24;27;30;1;24;3;30;6;14;18;27
325;04/07/2020;7;8;19;20;21;24;26;0;20;8;19;21;7;26;24
326;07/07/2020;1;10;15;16;22;24;29;0;15;10;24;22;29;16;1
327;09/07/2020;4;9;13;15;21;23;25;0;9;23;13;4;21;15;25
328;11/07/2020;11;14;17;20;23;25;27;1;27;20;11;14;17;25;23
329;14/07/2020;2;6;9;17;18;19;22;0;19;9;2;17;18;6;22
330;16/07/2020;7;10;11;17;23;24;29;0;29;17;24;7;23;11;10
331;18/07/2020;7;8;23;26;29;30;31;1;23;8;7;29;26;31;30
332;21/07/2020;6;8;9;14;15;18;25;0;14;9;18;25;8;6;15
333;23/07/2020;5;10;13;16;18;20;22;0;22;16;13;18;20;10;5
334;25/07/2020;3;5;12;14;19;24;28;3;24;19;14;3;28;12;5
335;28/07/2020;1;3;5;10;13;14;26;0;1;5;13;10;3;14;26
336;30/07/2020;4;8;11;13;23;26;28;2;26;13;23;8;4;11;28
337;01/08/2020;1;6;7;20;21;27;30;0;6;7;30;27;1;20;21
338;04/08/2020;3;8;10;11;14;23;24;0;11;10;24;23;14;3;8
339;06/08/2020;1;5;9;10;23;24;25;0;10;23;24;9;5;25;1
340;08/08/2020;4;7;16;17;20;27;28;0;7;4;16;27;28;17;20
341;11/08/2020;1;5;8;10;11;13;27;1;1;27;11;8;13;5;10
342;13/08/2020;2;7;8;11;12;20;30;1;30;11;12;20;2;8;7
343;15/08/2020;1;7;11;25;26;29;31;0;29;26;25;7;11;31;1
344;18/08/2020;1;2;17;23;24;25;31;0;23;24;25;2;1;17;31
345;20/08/2020;5;7;8;13;22;26;30;0;5;26;7;13;8;22;30
346;22/08/2020;14;15;17;21;24;25;31;0;15;17;21;24;25;31;14
347;25/08/2020;6;8;19;20;22;23;29;0;19;29;6;23;8;20;22
